ردیف;گروه;نام محصول;قیمت فاکتور (تومان);قیمت فروش (تومان);دسته فرعی;مناسب برای (برچسب تطبیق AI);وضعیت انتشار;توضیح کوتاه
17;خوراکی/تغذیه;شیر بادام عسلی بزرگ طیب;6130000;9200000;nutrition;سلامت پوست و مو;special_order (فقط سفارش خاص با توصیه AI);نوشیدنی مغذی بادام و عسل برای شادابی پوست و مو
18;خوراکی/تغذیه;دمنوش ۷ میوه مفرح ۳۰۰ گرم طیب;1750000;2630000;nutrition;آنتی‌اکسیدان و شادابی پوست;special_order (فقط سفارش خاص با توصیه AI);دمنوش میوه‌ای سرشار از آنتی‌اکسیدان برای شادابی پوست
19;خوراکی/تغذیه;چای ترش ۵۰ گرم;1600000;2400000;nutrition;تصفیه و سلامت پوست;special_order (فقط سفارش خاص با توصیه AI);چای ترش برای تصفیه و طراوت پوست
20;خوراکی/تغذیه;تخم خرفه ۵۰ گرم;550000;830000;nutrition;کمک به ریزش مو;special_order (فقط سفارش خاص با توصیه AI);تخم خرفه، مصرف سنتی برای تقویت و کاهش ریزش مو
21;خوراکی/تغذیه;روغن زیتون بی‌بو ۱ لیتری طیب;11900000;17850000;nutrition;چربی سالم و پوست;special_order (فقط سفارش خاص با توصیه AI);روغن زیتون سالم برای پخت‌وپز و سلامت پوست
22;خوراکی/تغذیه;آبلیمو طبیعی ۱ لیتری;2930000;4400000;nutrition;ویتامین C و پوست;special_order (فقط سفارش خاص با توصیه AI);آبلیمو طبیعی سرشار از ویتامین C برای شفافیت پوست
23;خوراکی/تغذیه;سرکه انگبین عسلی افتیمونی طیب;2890000;4340000;nutrition;گوارش و پاک‌سازی;special_order (فقط سفارش خاص با توصیه AI);سرکه انگبین عسلی برای بهبود گوارش و پاک‌سازی
24;خوراکی/تغذیه;عرق اسطوخودوس ۱ لیتری;1470000;2210000;nutrition;آرامش و خواب و پوست;special_order (فقط سفارش خاص با توصیه AI);عرق اسطوخودوس برای آرامش، خواب بهتر و پوست
25;خوراکی/تغذیه;بیسکوئیت سنجد و عناب ۴۸۰ گرم;1750000;2630000;nutrition;میان‌وعده سالم;special_order (فقط سفارش خاص با توصیه AI);میان‌وعده سالم و مغذی با سنجد و عناب
26;خوراکی/تغذیه;عسل چند گیاه بهاره ۱ کیلوگرم;6230000;9350000;nutrition;پایه برنامه تغذیه;special_order (فقط سفارش خاص با توصیه AI);عسل طبیعی چندگیاه، پایه برنامه تغذیه زیبایی
27;خوراکی/تغذیه;شربت گلاب زعفران طیب;2530000;3800000;nutrition;نوشیدنی و آنتی‌اکسیدان;special_order (فقط سفارش خاص با توصیه AI);شربت گلاب و زعفران، نوشیدنی نشاط‌آور و آنتی‌اکسیدان
28;خوراکی/تغذیه;عرق بیدمشک ۱ لیتری;1730000;2600000;nutrition;آرامش و خواب;special_order (فقط سفارش خاص با توصیه AI);عرق بیدمشک برای آرامش اعصاب و خواب راحت
29;خوراکی/تغذیه;زعفران اقتصادی ۱ مثقال;5590000;8390000;nutrition;آنتی‌اکسیدان;special_order (فقط سفارش خاص با توصیه AI);زعفران، آنتی‌اکسیدان قوی برای شادابی پوست
30;خوراکی/تغذیه;شربت بیدمشک گلاب طیب;2430000;3650000;nutrition;نوشیدنی آرامش‌بخش;special_order (فقط سفارش خاص با توصیه AI);شربت بیدمشک و گلاب برای آرامش و رفع خستگی
